date,price
2016-01-04,10.73
2016-01-05,10.82
2016-01-06,10.71
2016-01-07,11.36
2016-01-08,10.86
2016-01-11,11.35
2016-01-12,11.47
2016-01-13,11.35
2016-01-14,11.55
2016-01-15,11.78
2016-01-18,11.58
2016-01-19,11.41
2016-01-20,11.67
2016-01-21,11.65
2016-01-22,11.68
2016-01-25,11.59
2016-01-26,11.8
2016-01-27,12.17
2016-01-28,12.17
2016-01-29,11.85
2016-02-01,11.98
2016-02-02,11.85
2016-02-03,12.07
2016-02-15,11.86
2016-02-16,11.54
2016-02-17,11.6
2016-02-18,11.52
2016-02-19,11.52
2016-02-22,11.3
2016-02-23,11.41
2016-02-24,11.49
2016-02-25,11.67
2016-02-26,11.8
2016-03-01,11.81
2016-03-02,11.31
2016-03-03,11.17
2016-03-04,10.96
2016-03-07,10.88
2016-03-08,11.08
2016-03-09,11.05
2016-03-10,10.95
2016-03-11,11.05
2016-03-14,10.82
2016-03-15,11.04
2016-03-16,10.85
2016-03-17,10.67
2016-03-18,10.53
2016-03-21,10.27
2016-03-22,10.3
2016-03-23,10.4
2016-03-24,10.45
2016-03-25,10.49
2016-03-28,10.47
2016-03-29,10.62
2016-03-30,10.46
2016-03-31,10.3
2016-04-01,10.47
2016-04-06,10.35
2016-04-07,10.45
2016-04-08,10.48
2016-04-11,10.33
2016-04-12,10.41
2016-04-13,10.18
2016-04-14,10.23
2016-04-15,10.22
2016-04-18,10.32
2016-04-19,10.32
2016-04-20,10.55
2016-04-21,10.41
2016-04-22,10.37
2016-04-25,10.37
2016-04-26,10.39
2016-04-27,10.32
2016-04-28,10.43
2016-04-29,10.39
2016-05-03,10.25
2016-05-04,10.32
2016-05-05,10.36
2016-05-06,10.49
2016-05-09,10.68
2016-05-10,10.71
2016-05-11,10.68
2016-05-12,10.7
2016-05-13,10.7
2016-05-16,10.72
2016-05-17,10.74
2016-05-18,10.88
2016-05-19,10.76
2016-05-20,10.74
2016-05-23,10.65
2016-05-24,10.75
2016-05-25,10.66
2016-05-26,10.7
2016-05-27,10.65
2016-05-30,10.63
2016-05-31,10.31
2016-06-01,10.3
2016-06-02,10.33
2016-06-03,10.33
2016-06-06,10.32
2016-06-07,10.28
2016-06-08,10.32
2016-06-13,10.46
2016-06-14,10.53
2016-06-15,10.54
2016-06-16,10.56
2016-06-17,10.47
2016-06-20,10.47
2016-06-21,10.39
2016-06-22,10.4
2016-06-23,10.4
