date,price
2010/1/4,58.5
2010/1/5,57
2010/1/6,55.8
2010/1/7,53.7
2010/1/8,54.8
2010/1/11,54.5
2010/1/12,53.7
2010/1/13,54.7
2010/1/14,54.3
2010/1/15,54.1
2010/1/18,53.5
2010/1/19,51.8
2010/1/20,51.8
2010/1/21,50.2
2010/1/22,49
2010/1/26,42.8
2010/1/27,39.85
2010/1/28,42.6
2010/1/29,40.45
2010/2/1,43.25
2010/2/2,41.25
2010/2/3,41.9
2010/2/4,43.5
2010/2/5,41.5
2010/2/8,42
2010/2/9,42.5
2010/2/10,42.8
2010/2/22,43
2010/2/23,43
2010/2/24,42.5
2010/2/25,41.4
2010/2/26,40.5
2010/3/1,41.9
2010/3/2,41.2
2010/3/3,44.05
2010/3/4,47.1
2010/3/5,49.5
2010/3/8,48.8
2010/3/9,46.95
2010/3/10,49.9
2010/3/11,48
2010/3/12,49.2
2010/3/15,48.1
2010/3/16,48.4
2010/3/17,48.5
2010/3/18,49.5
2010/3/19,49.25
2010/3/22,48.85
2010/3/23,48.2
2010/3/24,47.1
2010/3/25,46.5
2010/3/26,46.1
2010/3/29,49.3
2010/3/30,49.6
2010/3/31,48.7
2010/4/1,51.4
2010/4/2,53.5
2010/4/6,52.9
2010/4/7,52.3
2010/4/8,51.1
2010/4/9,52.5
2010/4/12,56.1
2010/4/13,58.8
2010/4/14,56
2010/4/15,59.8
2010/4/16,63.9
2010/4/19,65
2010/4/20,63.5
2010/4/21,64
2010/4/22,64
2010/4/23,67.3
2010/4/26,66.9
2010/4/27,66.5
2010/4/28,65.8
2010/4/29,64.6
2010/4/30,63
2010/5/3,59.6
2010/5/4,61
2010/5/5,56.8
2010/5/6,52.9
2010/5/7,51.9
2010/5/10,52.4
2010/5/11,51.4
2010/5/12,50.5
2010/5/13,51
2010/5/14,51.5
2010/5/17,50.1
2010/5/18,48.4
2010/5/19,48.85
2010/5/20,46.5
2010/5/21,43.25
2010/5/24,43.9
2010/5/25,40.85
2010/5/26,41.2
2010/5/27,42.8
2010/5/28,42.5
2010/5/31,43.4
2010/6/1,41.8
2010/6/2,42
2010/6/3,42.5
2010/6/4,42.25
2010/6/7,40.9
2010/6/8,40.2
2010/6/9,38.8
2010/6/10,38.6
2010/6/11,38.95
2010/6/14,41.65
2010/6/15,44.55
2010/6/17,46.4
2010/6/18,45.95
2010/6/21,48.3
2010/6/22,48.5
2010/6/23,47.1
2010/6/24,49.2
2010/6/25,49.8
2010/6/28,48.1
2010/6/29,46.2
2010/6/30,45.3
2010/7/1,45.3
2010/7/2,45.75
2010/7/5,45.7
2010/7/6,46.4
2010/7/7,45.5
2010/7/8,47.3
2010/7/9,48.25
2010/7/12,47.6
2010/7/13,47.65
2010/7/14,48.55
2010/7/15,47.2
2010/7/16,45.55
2010/7/19,45.6
2010/7/20,45.8
2010/7/21,45.55
2010/7/22,45.65
2010/7/23,48.8
2010/7/26,47.85
2010/7/27,47.5
2010/7/28,47.55
2010/7/29,49.5
2010/7/30,52.9
2010/8/2,53.4
2010/8/3,54.6
2010/8/4,58.2
2010/8/5,58
2010/8/6,60
2010/8/9,59.3
2010/8/10,58
2010/8/11,54.5
2010/8/12,54.9
2010/8/13,54.3
2010/8/16,54.3
2010/8/17,55.2
2010/8/18,58.3
