date,price
2016-01-04,8114.26
2016-01-05,8075.11
2016-01-06,7990.39
2016-01-07,7852.06
2016-01-08,7893.97
2016-01-11,7788.42
2016-01-12,7768.45
2016-01-13,7824.61
2016-01-14,7742.88
2016-01-15,7762.01
2016-01-18,7811.18
2016-01-19,7854.88
2016-01-20,7699.12
2016-01-21,7664.01
2016-01-22,7756.18
2016-01-25,7894.15
2016-01-26,7828.67
2016-01-27,7849.83
2016-01-28,7905.1
2016-01-29,8080.6
2016-02-01,8156.96
2016-02-02,8131.24
2016-02-03,8063
2016-02-15,8066.51
2016-02-16,8212.07
2016-02-17,8214.25
2016-02-18,8314.67
2016-02-19,8325.04
2016-02-22,8326.68
2016-02-23,8334.64
2016-02-24,8282.86
2016-02-25,8365.86
2016-02-26,8411.16
2016-03-01,8485.69
2016-03-02,8544.05
2016-03-03,8611.79
2016-03-04,8643.55
2016-03-07,8659.55
2016-03-08,8664.31
2016-03-09,8634.11
2016-03-10,8660.7
2016-03-11,8706.14
2016-03-14,8747.9
2016-03-15,8611.18
2016-03-16,8699.14
2016-03-17,8734.54
2016-03-18,8810.71
2016-03-21,8812.7
2016-03-22,8785.68
2016-03-23,8766.09
2016-03-24,8743.38
2016-03-25,8704.97
2016-03-28,8690.45
2016-03-29,8617.35
2016-03-30,8737.04
2016-03-31,8744.83
2016-04-01,8657.55
2016-04-06,8513.3
2016-04-07,8490.25
2016-04-08,8541.5
2016-04-11,8562.59
2016-04-12,8531.18
2016-04-13,8652.08
2016-04-14,8667.71
2016-04-15,8700.39
2016-04-18,8666.01
2016-04-19,8633.72
2016-04-20,8514.48
2016-04-21,8568.65
2016-04-22,8535.75
2016-04-25,8560.28
2016-04-26,8581.57
2016-04-27,8563.05
2016-04-28,8473.87
2016-04-29,8377.9
2016-05-03,8294.12
2016-05-04,8185.47
2016-05-05,8167.96
2016-05-06,8146.43
2016-05-09,8131.83
2016-05-10,8156.29
2016-05-11,8135.56
2016-05-12,8108.05
2016-05-13,8053.69
2016-05-16,8067.6
2016-05-17,8140.48
2016-05-18,8159.68
2016-05-19,8095.98
2016-05-20,8131.26
2016-05-23,8344.44
2016-05-24,8300.66
2016-05-25,8396.2
2016-05-26,8394.12
2016-05-27,8463.61
2016-05-30,8535.87
2016-05-31,8535.59
2016-06-01,8597.16
2016-06-02,8556.02
2016-06-03,8587.36
2016-06-06,8597.11
2016-06-07,8679.9
2016-06-08,8715.48
2016-06-10,8928.14
2016-06-13,8536.22
2016-06-14,8576.12
2016-06-15,8606.37
2016-06-16,8494.14
2016-06-17,8568.08
2016-06-20,8625.92
2016-06-21,8684.85
2016-06-22,8716.25
2016-06-23,8676.68
2016-06-24,8476.99
2016-06-27,8458.87
2016-06-28,8505.51
2016-06-29,8586.56
2016-06-30,8666.58
2016-07-01,8738.24
2016-07-04,8760.58
2016-07-05,8716.07
2016-07-06,8575.75
2016-07-07,8640.91
2016-07-11,8786.47
2016-07-12,8841.46
2016-07-13,8857.75
2016-07-14,8866.36
2016-07-15,8949.85
2016-07-18,9008.21
2016-07-19,9034.87
2016-07-20,9007.68
2016-07-21,9056.56
2016-07-22,9013.14
2016-07-25,8991.67
2016-07-26,9024.79
2016-07-27,9063.39
2016-07-28,9076.64
2016-07-29,8984.41
2016-08-01,9080.71
2016-08-02,9068.76
2016-08-03,9001.71
2016-08-04,9024.71
2016-08-05,9092.12
2016-08-08,9150.26
2016-08-09,9155.08
2016-08-10,9200.42
2016-08-11,9131.83
2016-08-12,9150.39
2016-08-15,9148.51
2016-08-16,9110.36
2016-08-17,9117.7
2016-08-18,9122.5
2016-08-19,9034.27
2016-08-22,8981.81
2016-08-23,9030.93
2016-08-24,9017.38
2016-08-25,9115.47
2016-08-26,9131.72
2016-08-29,9110.17
